address,exchange
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,binance
0xd551234ae421e3bcba99a0da6d736074f22192ff,binance
0x564286362092d8e7936f0549571a803b203aaced,binance
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,binance
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,binance
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,binance
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,bitfinex
0x7727e5113d1d161373623e5f49fd568b4f543a9e,bitfinex
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,bitfinex
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,bitfinex
0x742d35cc6634c0532925a3b844bc454e4438f44e,bitfinex
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,bittrex
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,bittrex
0x66f820a414680b5bcda5eeca5dea238543f42054,bittrex
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,kraken
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,kraken
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,kraken
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,kraken
0xd24400ae8bfebb18ca49be86258a3c749cf46853,gemini
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,gemini
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,gemini
0x32be343b94f860124dc4fee278fdcbd38c102d88,poloniex
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,poloniex
0xb794f5ea0ba39494ce839613fffba74279579268,poloniex
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,poloniex
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,poloniex
0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,poloniex
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,poloniex
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,poloniex
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,poloniex
0x0536806df512d6cdde913cf95c9886f65b1d3462,poloniex
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,poloniex
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,poloniex
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,poloniex
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,poloniex
0x36b01066b7fa4a0fdb2968ea0256c848e9135674,poloniex
0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5,poloniex
0x6795cf8eb25585eadc356ae32ac6641016c550f2,poloniex
0xfbf2173154f7625713be22e0504404ebfe021eae,poloniex
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,poloniex
0xead6be34ce315940264519f250d8160f369fa5cd,poloniex